Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Software Licenses & Subscriptions,Amazon Augmented AI (A2I),Human review workflow for low-confidence predictions,Instance,1,1,1,1,40,Monthly,480.00,480.00,480.00,"Small: 1k tasks/mo, Medium: 5k tasks/mo, Large: 20k tasks/mo"
Software Licenses & Subscriptions,ABBYY FineReader Engine (Optional),Advanced OCR for complex document formats,Instance,1,1,1,1,200,Monthly,2400.00,2400.00,2400.00,"Small: 10k pages/mo, Medium: 50k pages/mo, Large: 200k pages/mo"
Software Licenses & Subscriptions,Datadog Pro,APM infrastructure monitoring and log aggregation,Hosts,5,15,40,5,23,Monthly,1380.00,1380.00,1380.00,Monitoring hosts scale with Lambda functions and infrastructure
Software Licenses & Subscriptions,PagerDuty Professional,Incident management and on-call scheduling,Users,5,10,20,5,41,Monthly,2460.00,2460.00,2460.00,Operations team size for 24x7 support coverage
Support & Maintenance,AWS Enterprise Support,24x7 support with 15-minute critical response SLA,Percent,0,0.03,0.03,0,0,Monthly,0.00,0.00,0.00,"Small: Business support (included), Medium/Large: 3% of monthly AWS spend"
Support & Maintenance,Solution Optimization Review,Quarterly cost and performance optimization review,Hours,0,8,16,0,200,Quarterly,0.00,0.00,0.00,"Small: None, Medium: 8 hours/quarter, Large: 16 hours/quarter"
Professional Services,Discovery & Assessment,Current-state analysis and requirements gathering,Hours,80,80,80,80,200,One-Time,16000.00,0,0,Initial assessment phase fixed scope
Professional Services,Solution Architecture & Design,Detailed technical design and AWS architecture,Hours,120,120,120,120,225,One-Time,27000.00,0,0,Architecture design and documentation
Professional Services,Infrastructure Deployment,AWS environment setup security and networking,Hours,160,200,280,160,200,One-Time,32000.00,0,0,"Small: Basic setup, Large: Multi-region with DR"
Professional Services,AI/ML Model Integration,Textract Comprehend integration and tuning,Hours,200,240,320,200,225,One-Time,45000.00,0,0,AI service configuration and custom model training
Professional Services,Application Development,Custom workflow development API integration,Hours,400,600,1000,400,175,One-Time,70000.00,0,0,Development effort scales with customization requirements
Professional Services,Testing & Quality Assurance,Functional performance and security testing,Hours,120,160,240,120,175,One-Time,21000.00,0,0,Testing effort based on solution complexity
Professional Services,Data Migration & Integration,Legacy system integration and data migration,Hours,160,240,400,160,175,One-Time,28000.00,0,0,Integration complexity with existing systems
Professional Services,Training & Knowledge Transfer,Administrator and user training documentation,Hours,40,60,80,40,175,One-Time,7000.00,0,0,Training sessions and documentation delivery
Professional Services,Project Management,Project coordination and stakeholder management,Hours,200,280,400,200,200,One-Time,40000.00,0,0,PM effort scales with project duration and complexity
Professional Services,Hypercare Support (30 days),Post-launch support and issue resolution,Hours,80,120,160,80,175,One-Time,14000.00,0,0,Dedicated support during stabilization period
