# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Number of Developers,50 developers with CI/CD access,10-25 developers,50 developers,100+ developers,Development team size and build volume
Solution Scope,Build Agents,8 Dell PowerEdge R650 build servers,3 build agents,8 build agents,16+ build agents,Build farm capacity and parallelism
Integration,CI/CD Platform,GitLab Premium self-hosted,GitLab Community,GitLab Premium,GitLab Ultimate,Feature requirements and licensing
Integration,Artifact Repository,JFrog Artifactory Pro,No artifact mgmt,Artifactory Pro,Artifactory Enterprise,Artifact management and storage
User Base,Build Volume,5000 builds per day,500-2000 builds/day,5000 builds/day,10000+ builds/day,Daily build execution volume
User Base,Pipeline Complexity,Multi-stage pipelines with tests,Simple build only,Build test deploy,Advanced (canary blue-green),Pipeline orchestration complexity
Data Volume,Artifact Storage,20TB artifact capacity,5TB artifacts,20TB artifacts,50TB+ artifacts,Artifact repository storage requirements
Data Volume,Build Artifacts,Maven npm Docker images,Single format,Multi-format,All formats + binary,Artifact type diversity and management
Technical Environment,Build Agent OS,Ubuntu 22.04 LTS with Docker,Linux only,Linux + Windows,Linux Windows macOS,OS diversity and licensing
Technical Environment,Current CI/CD,GitHub Actions cloud runners,Jenkins on-prem,GitHub Actions,CircleCI cloud,Migration complexity and platform
Technical Environment,Container Platform,Docker Enterprise with registry,No containers,Docker,Kubernetes + registry,Container build requirements
Security & Compliance,Code Sensitivity,Proprietary source code,Public repos,Private repos,Confidential regulated,Data classification and controls
Security & Compliance,Authentication,SSO with SAML integration,Local accounts only,LDAP or SAML SSO,MFA required,Authentication and access control
Performance,Build Queue Time,<5 minute average queue time,<15 min acceptable,<5 min target,<2 min required,Developer productivity and SLA
Performance,Build Duration,15 minute average build time,5-10 min builds,15 min builds,30+ min builds,Compute capacity requirements
Environment,Deployment Strategy,Phased migration by team,Pilot only,Phased rollout,Full parallel run,Migration risk and complexity
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,All Discovery phase tasks (Build Analysis Cloud Cost Pipeline Inventory)
Planning,PLANNING_MX,1,All Planning phase tasks (Platform Design Build Agent Sizing Artifact Architecture)
Development,DEVELOPMENT_MX,1,All Development phase tasks (PowerEdge Deployment GitLab Setup Pipeline Migration)
Testing,TESTING_MX,1,All Testing phase tasks (Performance Testing Build Queue Validation)
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks (Team Rollout Cloud Decommission)
Training,TRAINING_MX,1,All Training phase tasks (Developer Training DevOps Training)
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks (Knowledge Transfer Pipeline Templates)
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Development,Secrets Management,Deploy HashiCorp Vault for pipeline secrets,EO Engineer,32,='Estimate Settings'!$C$5,=$E39*$F39,$175,"=TEXT($G39*$H39,""$#,##0"")",GitLab Installation,Vault installation GitLab integration credential injection
Development,Pipeline Templates,Create GitLab CI pipeline templates for common stacks,EO Engineer,40,='Estimate Settings'!$C$5,=$E40*$F40,$175,"=TEXT($G40*$H40,""$#,##0"")",GitLab Installation,Templates for Node.js Java Python Docker builds
Testing,Performance Testing,Benchmark build queue time and throughput,EO Engineer,24,='Estimate Settings'!$C$6,=$E41*$F41,$160,"=TEXT($G41*$H41,""$#,##0"")",Pipeline Templates,Validate <5 min queue time and concurrent build capacity
Testing,Artifact Performance,Test artifact download speed and caching,EO Engineer,16,='Estimate Settings'!$C$6,=$E42*$F42,$150,"=TEXT($G42*$H42,""$#,##0"")",Artifactory Deployment,Measure artifact download throughput and proxy cache
Testing,Pipeline Validation,Validate pipeline templates with pilot projects,EO Engineer,24,='Estimate Settings'!$C$6,=$E43*$F43,$160,"=TEXT($G43*$H43,""$#,##0"")",Performance Testing,Customer must provide pilot projects for testing
Testing,Integration Testing,Test deployment integrations and webhooks,EO Engineer,16,='Estimate Settings'!$C$6,=$E44*$F44,$150,"=TEXT($G44*$H44,""$#,##0"")",Pipeline Validation,Validate Slack Jira and deployment target integrations
Deployment,Pilot Migration,Migrate 5-10 pilot projects to on-prem GitLab,EO Engineer,48,='Estimate Settings'!$C$7,=$E45*$F45,$175,"=TEXT($G45*$H45,""$#,##0"")",Pipeline Validation,Convert pipelines validate builds collect feedback
Deployment,Team Rollout,Phased rollout to development teams,EO Engineer,64,='Estimate Settings'!$C$7,=$E46*$F46,$175,"=TEXT($G46*$H46,""$#,##0"")",Pilot Migration,10 developers every 2 weeks migration schedule
Deployment,Cloud Decommission,Decommission cloud CI/CD platform,EO Engineer,16,='Estimate Settings'!$C$7,=$E47*$F47,$150,"=TEXT($G47*$H47,""$#,##0"")",Team Rollout,Cancel GitHub Actions or CircleCI subscriptions
Deployment,Production Support,Provide hypercare support during migration,EO Engineer,40,='Estimate Settings'!$C$7,=$E48*$F48,$150,"=TEXT($G48*$H48,""$#,##0"")",Team Rollout,Daily monitoring and rapid pipeline issue response
Training,Developer Training,Train developers on GitLab CI/CD and pipelines,EO Engineer,24,='Estimate Settings'!$C$8,=$E49*$F49,$150,"=TEXT($G49*$H49,""$#,##0"")",Production Support,GitLab CI syntax pipeline debugging Artifactory usage
Training,DevOps Training,Train DevOps team on platform administration,EO Engineer,24,='Estimate Settings'!$C$8,=$E50*$F50,$175,"=TEXT($G50*$H50,""$#,##0"")",Developer Training,GitLab admin runner management Artifactory administration
Training,Documentation,Create pipeline templates and runbooks,EO Engineer,24,='Estimate Settings'!$C$8,=$E51*$F51,$150,"=TEXT($G51*$H51,""$#,##0"")",DevOps Training,Deliverable: Pipeline templates troubleshooting guides
Closeout,Knowledge Transfer,Transfer CI/CD platform ownership to DevOps,EO Engineer,16,='Estimate Settings'!$C$9,=$E52*$F52,$175,"=TEXT($G52*$H52,""$#,##0"")",Documentation,Comprehensive handover including architecture and procedures
Closeout,Performance Baseline,Establish build performance and queue time baselines,EO Engineer,8,='Estimate Settings'!$C$9,=$E53*$F53,$150,"=TEXT($G53*$H53,""$#,##0"")",Knowledge Transfer,Baseline queue time build success rate metrics
Management,Technical Leadership,Quarterback technical oversight and architecture review,EO Quarterback,"=ROUND(SUM($G$3:$G$31)*0.10,0)",='Estimate Settings'!$C$11,=$E54*$F54,$200,"=TEXT($G54*$H54,""$#,##0"")",,GitLab architecture review and pipeline optimization
Management,Project Management,Project coordination planning and vendor management,EO Project Manager,"=ROUND(SUM($G$3:$G$31)*0.10,0)",='Estimate Settings'!$C$10,=$E55*$F55,$175,"=TEXT($G55*$H55,""$#,##0"")",,Includes Dell coordination migration planning risk management
,,,,,TOTAL HOURS,"=SUM($G$3:$G$33)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$33,$H$3:$H$33),""$#,##0"")",,EO Sales Engineer: Update phase multipliers based on developer count
# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 27,17,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
Dell Partner Discount,"($15000)",Dell Titanium Partner discount on PowerEdge and Unity hardware (negotiate 5-10% on volume orders)
Implementation Discount,$0,No implementation discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$33,$H$3:$H$33)-15000",Total Cost minus Dell Partner discount
