# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Cluster Size,8-node VxRail P570 all-NVMe cluster,4-node,8-node enterprise,16-node large,Enterprise cluster scale
Solution Scope,Storage Capacity,200TB usable all-NVMe,80TB usable,200TB usable,400TB+ usable,High-performance NVMe storage
Integration,vSphere Stack,vSphere 8 Enterprise Plus with NSX,vSphere only,vSphere + NSX,vSphere NSX vRealize Suite,VMware enterprise stack
Integration,DR Solution,VMware SRM with RecoverPoint for VMs,No DR,SRM replication,Multi-site HA stretched cluster,Disaster recovery complexity
User Base,VM Count,800 VMs including mission-critical databases,250 VMs,800 VMs,1500+ VMs,Enterprise VM scale
User Base,Database Workloads,Oracle RAC SQL Always-On SAP HANA,No databases,Standard databases,Mission-critical Tier 1,Database performance requirements
Data Volume,Storage Type,All-NVMe 30.72TB per node,Hybrid or all-flash SSD,All-NVMe performance,NVMe with RAID-6,Enterprise performance tier
Data Volume,IOPS Requirements,100000+ IOPS cluster aggregate,10K IOPS,100K IOPS,200K+ IOPS,Mission-critical performance SLA
Technical Environment,Current Infrastructure,EMC VMAX or NetApp enterprise SAN,Mid-range SAN,Enterprise SAN,Multi-array legacy,Migration complexity from Tier 1 storage
Technical Environment,Network Fabric,100GbE spine-leaf network,25GbE network,100GbE fabric,Multi-site WAN connectivity,Enterprise network requirements
Technical Environment,vSAN Features,FTT=2 RAID-6 erasure coding,FTT=1 mirroring,FTT=2 RAID-6,Stretched cluster multi-site,Advanced vSAN features
Security & Compliance,Compliance,Mission-critical with SOC 2 ISO 27001,Standard compliance,Enterprise compliance,Regulated (PCI HIPAA FedRAMP),Enterprise compliance requirements
Security & Compliance,Encryption,vSAN and VM encryption with KMS,vSAN encryption,vSAN + VM encryption,FIPS 140-2 compliance,Enterprise security controls
Performance,Latency SLA,<1ms storage latency for databases,<5ms acceptable,<1ms target,Sub-millisecond,Mission-critical performance SLA
Performance,Availability,99.99% uptime with N+2 fault tolerance,99.9% (N+1),99.99% (N+2),99.999% stretched cluster,Enterprise availability SLA
Environment,DR Requirements,RPO <5 min RTO <15 min with SRM,No DR,Standard DR,Mission-critical DR automation,Disaster recovery SLA
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,All Discovery phase tasks (Database Assessment Enterprise SAN Inventory)
Planning,PLANNING_MX,1,All Planning phase tasks (Enterprise VxRail Design NSX Architecture DR Design)
Development,DEVELOPMENT_MX,1,All Development phase tasks (VxRail Deployment Database Migration DR Setup)
Testing,TESTING_MX,1,All Testing phase tasks (Database Performance SLA Validation DR Failover)
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks (Tier 1 Migration Enterprise Cutover)
Training,TRAINING_MX,1,All Training phase tasks (Enterprise Operations NSX Training)
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks (Enterprise Handover SLA Baseline)
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Testing,Database Performance,Benchmark Oracle RAC and SQL performance,EO Engineer,32,='Estimate Settings'!$C$6,=$E40*$F40,$200,"=TEXT($G40*$H40,""$#,##0"")",vSAN FTT=2 Setup,Validate 100K+ IOPS and <1ms latency
Testing,SLA Validation,Validate 99.99% uptime and N+2 fault tolerance,EO Engineer,16,='Estimate Settings'!$C$6,=$E41*$F41,$200,"=TEXT($G41*$H41,""$#,##0"")",Database Performance,2-node failure testing and recovery
Testing,DR Failover Testing,Test SRM automated failover to DR site,EO Engineer,24,='Estimate Settings'!$C$6,=$E42*$F42,$200,"=TEXT($G42*$H42,""$#,##0"")",SRM Configuration,Validate RPO <5min RTO <15min
Testing,Pilot Database Migration,Migrate non-production Oracle or SQL database,EO Engineer,24,='Estimate Settings'!$C$6,=$E43*$F43,$200,"=TEXT($G43*$H43,""$#,##0"")",Database Performance,Pilot validation before Tier 1
Deployment,Tier 1 Database Migration,Migrate Oracle RAC SQL Always-On SAP HANA,EO Engineer,80,='Estimate Settings'!$C$7,=$E44*$F44,$200,"=TEXT($G44*$H44,""$#,##0"")",Pilot Database Migration,Mission-critical database cutover
Deployment,VM Migration,Migrate remaining 700+ VMs to VxRail,EO Engineer,64,='Estimate Settings'!$C$7,=$E45*$F45,$175,"=TEXT($G45*$H45,""$#,##0"")",Tier 1 Database Migration,Phased migration post-database validation
Deployment,SAN Decommission,Decommission VMAX/NetApp enterprise SAN,EO Engineer,16,='Estimate Settings'!$C$7,=$E46*$F46,$175,"=TEXT($G46*$H46,""$#,##0"")",VM Migration,Eliminate $250K+ annual SAN support cost
Training,Enterprise Operations,Train team on vRealize Operations and vSAN Enterprise,EO Engineer,24,='Estimate Settings'!$C$8,=$E47*$F47,$200,"=TEXT($G47*$H47,""$#,##0"")",SAN Decommission,Enterprise platform operations training
Training,NSX Training,Train team on NSX distributed firewall and micro-segmentation,EO Engineer,24,='Estimate Settings'!$C$8,=$E48*$F48,$200,"=TEXT($G48*$H48,""$#,##0"")",Enterprise Operations,Zero-trust networking administration
Training,DR Training,Train team on SRM failover procedures,EO Engineer,16,='Estimate Settings'!$C$8,=$E49*$F49,$200,"=TEXT($G49*$H49,""$#,##0"")",NSX Training,DR runbooks and failover procedures
Training,Documentation,Create enterprise runbooks and architecture docs,EO Engineer,24,='Estimate Settings'!$C$8,=$E50*$F50,$175,"=TEXT($G50*$H50,""$#,##0"")",DR Training,Comprehensive enterprise documentation
Closeout,Knowledge Transfer,Transfer to enterprise operations team,EO Engineer,16,='Estimate Settings'!$C$9,=$E51*$F51,$200,"=TEXT($G51*$H51,""$#,##0"")",Documentation,Enterprise handover with TAM introduction
Closeout,SLA Baseline,Establish 99.99% uptime and <1ms latency baseline,EO Engineer,8,='Estimate Settings'!$C$9,=$E52*$F52,$200,"=TEXT($G52*$H52,""$#,##0"")",Knowledge Transfer,Enterprise SLA metrics and monitoring
Management,Technical Leadership,VCDX-level architecture review and guidance,EO Quarterback,"=ROUND(SUM($G$3:$G$30)*0.10,0)",='Estimate Settings'!$C$11,=$E53*$F53,$200,"=TEXT($G53*$H53,""$#,##0"")",,Enterprise architecture and optimization
Management,Project Management,Enterprise project coordination,EO Project Manager,"=ROUND(SUM($G$3:$G$30)*0.10,0)",='Estimate Settings'!$C$10,=$E54*$F54,$200,"=TEXT($G54*$H54,""$#,##0"")",,Dell Mission Critical Services coordination
,,,,,TOTAL HOURS,"=SUM($G$3:$G$32)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$32,$H$3:$H$32),""$#,##0"")",,Enterprise deployment complexity
# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 27,17,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
Dell Partner Discount,"($50000)",Dell Titanium Partner discount on VxRail P570 enterprise hardware (negotiate 5-10%)
Implementation Discount,$0,No implementation discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$32,$H$3:$H$32)-50000",Total Cost minus Dell Partner discount
