Deployment,Go-Live Support,Provide support during initial production rollout,EO Engineer,40,='Estimate Settings'!$C$7,=$E53*$F53,$130,"=TEXT($G53*$H53,""$#,##0"")",Data Migration,Includes daily monitoring and rapid issue response during hypercare
Training,Administrator Training,Train system administrators and technical users,EO Engineer,16,='Estimate Settings'!$C$8,=$E54*$F54,$140,"=TEXT($G54*$H54,""$#,##0"")",Production Deployment,Includes system administration and troubleshooting procedures
Training,End User Training,Train business users on system functionality,EO Engineer,24,='Estimate Settings'!$C$8,=$E55*$F55,$130,"=TEXT($G55*$H55,""$#,##0"")",Administrator Training,Role-based training sessions - customer provides training space
Training,Documentation,Create user manuals technical documentation and runbooks,EO Engineer,32,='Estimate Settings'!$C$8,=$E56*$F56,$120,"=TEXT($G56*$H56,""$#,##0"")",End User Training,Deliverable: User guides administrator guides and runbooks
Closeout,Knowledge Transfer,Transfer ownership to operations and support teams,EO Engineer,16,='Estimate Settings'!$C$9,=$E57*$F57,$140,"=TEXT($G57*$H57,""$#,##0"")",Documentation,Comprehensive handover to customer operations team
Closeout,Performance Baseline,Establish performance metrics and monitoring baselines,EO Engineer,8,='Estimate Settings'!$C$9,=$E58*$F58,$130,"=TEXT($G58*$H58,""$#,##0"")",Knowledge Transfer,Establishes SLA metrics and monitoring thresholds
Management,Technical Leadership,Quarterback technical oversight and architecture review,EO Quarterback,"=ROUND(SUM($G$3:$G$28)*0.10,0)",='Estimate Settings'!$C$11,=$E59*$F59,$200,"=TEXT($G59*$H59,""$#,##0"")",,Solution architecture review and technical escalation support
Management,Project Management,Project coordination planning and management activities,EO Project Manager,"=ROUND(SUM($G$3:$G$28)*0.10,0)",='Estimate Settings'!$C$10,=$E60*$F60,$150,"=TEXT($G60*$H60,""$#,##0"")",,Includes weekly status reporting and risk management
,,,,,TOTAL HOURS,"=SUM($G$3:$G$30)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$30,$H$3:$H$30),""$#,##0"")",,EO Sales Engineer: Update phase-based multipliers in Estimate Settings sheet based on customer scope

# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 25,15,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
Partner Program Credit,"($5000)",Partner program services credit applied to professional services
Volume Discount,$0,No volume discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$30,$H$3:$H$30)-5000",Total Cost minus credits
