# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
User Base,User Count,500 licensed users,100 users,500 users,2000+ users,Total Google Workspace licenses
User Base,Workspace Edition,Business Plus,Business Standard,Business Plus,Enterprise Plus,Feature tier and storage capacity
Migration,Email Migration,500 mailboxes (2.5 TB),100 mailboxes,500 mailboxes,2000+ mailboxes,Exchange to Gmail migration volume
Migration,File Migration,File servers to Drive (3 TB),1 TB,3 TB,10+ TB,Document migration complexity
Integration,Identity Integration,SAML SSO with Azure AD,Basic auth,SAML SSO,Federated + directory sync,Authentication complexity
Integration,Distribution Lists,150 groups,50 groups,150 groups,500+ groups,Email group migration count
Security,DLP Policies,Sensitive content detection,Basic DLP,Standard DLP,Advanced DLP + custom,Data loss prevention complexity
Security,Mobile Management,Advanced mobile device management,Basic MDM,Advanced MDM,Enterprise EMM,Mobile security requirements
Compliance,Retention Policy,7-year retention (Vault),3-year retention,7-year retention,Unlimited + legal hold,Data retention requirements
Deployment,Deployment Approach,Phased by department (5 waves),Big bang,Phased rollout,Complex multi-phase,Migration strategy complexity
Training,Training Approach,Virtual + self-service,Self-service only,Virtual training,In-person + virtual,User enablement scope
Technical Environment,Coexistence Period,4 weeks with Exchange,2 weeks,4 weeks,8+ weeks,Parallel operation complexity
Technical Environment,Directory Sync,GCDS for automated provisioning,Manual sync,Automated GCDS,Complex multi-directory,User provisioning automation

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Migration Assessment, Environment Analysis, Training Needs)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Migration Planning, Stakeholder Alignment)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Workspace Configuration, SSO Setup, DLP Policies, Vault Setup, Mobile Management)"
Testing,TESTING_MX,1,"All Testing phase tasks (Pilot Validation, Migration Testing, UAT)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Pilot Migration, Email/File Migration, Group Migration, Go-Live Support)"
Training,TRAINING_MX,1,"All Training phase tasks (Admin Training, End-User Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Hypercare Support)"
Management,MANAGEMENT_MX,1,Project Management overhead - 20% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 25% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Deployment,Distribution Lists,Migration of 150 distribution lists to Google Groups,EO Engineer,16,='Estimate Settings'!$C$7,=$E31*$F31,$120,"=TEXT($G31*$H31,""$#,##0"")",Email Migration Wave 1-5,Preserve group membership and email addresses
Testing,Pilot Validation,Pilot user testing and workflow validation,EO Engineer,16,='Estimate Settings'!$C$6,=$E32*$F32,$120,"=TEXT($G32*$H32,""$#,##0"")",Pilot Migration,Validate Gmail Drive Docs Meet functionality with pilot users
Testing,Migration Testing,Data integrity validation and migration quality checks,EO Engineer,24,='Estimate Settings'!$C$6,=$E33*$F33,$130,"=TEXT($G33*$H33,""$#,##0"")",File Migration,Ensure 100% data migration with zero data loss
Testing,UAT Coordination,User acceptance testing coordination with business stakeholders,EO Engineer,16,='Estimate Settings'!$C$6,=$E34*$F34,$140,"=TEXT($G34*$H34,""$#,##0"")",Migration Testing,Business validation of collaboration workflows
Training,Administrator Training,Google Admin Console GAM scripting and troubleshooting training,EO Engineer,16,='Estimate Settings'!$C$8,=$E35*$F35,$150,"=TEXT($G35*$H35,""$#,##0"")",UAT Coordination,Hands-on training for IT administrators
Training,End-User Training,Virtual training sessions for Gmail Drive Docs Meet (10 sessions),EO Engineer,40,='Estimate Settings'!$C$8,=$E36*$F36,$125,"=TEXT($G36*$H36,""$#,##0"")",Administrator Training,2 sessions per migration wave covering core functionality
Training,Training Materials,Custom quick start guides video tutorials and FAQ documentation,EO Engineer,24,='Estimate Settings'!$C$8,=$E37*$F37,$110,"=TEXT($G37*$H37,""$#,##0"")",End-User Training,Deliverable: Self-service training resources and help documentation
Closeout,Knowledge Transfer,Operations handoff and support procedures documentation,EO Engineer,8,='Estimate Settings'!$C$9,=$E38*$F38,$140,"=TEXT($G38*$H38,""$#,##0"")",Training Materials,Transfer operational ownership to IT team
Closeout,Hypercare Support,Post-migration support and issue resolution (4 weeks),EO Engineer,80,='Estimate Settings'!$C$9,=$E39*$F39,$110,"=TEXT($G39*$H39,""$#,##0"")",Knowledge Transfer,Daily monitoring rapid issue resolution optimization support
Management,Project Management,Project coordination status reporting stakeholder management,EO Project Manager,"=ROUND(SUM(E19:E39)*0.20,0)",='Estimate Settings'!$C$10,=$E40*$F40,$150,"=TEXT($G40*$H40,""$#,##0"")",,20% of engineering effort for project management
Management,Technical Leadership,Quarterback oversight migration strategy technical governance,EO Quarterback,"=ROUND(SUM(E19:E39)*0.25,0)",='Estimate Settings'!$C$11,=$E41*$F41,$180,"=TEXT($G41*$H41,""$#,##0"")",,25% of engineering effort for technical leadership
,,TOTAL,,$E19+$E20+$E21+$E22+$E23+$E24+$E25+$E26+$E27+$E28+$E29+$E30+$E31+$E32+$E33+$E34+$E35+$E36+$E37+$E38+$E39,,=$G19+$G20+$G21+$G22+$G23+$G24+$G25+$G26+$G27+$G28+$G29+$G30+$G31+$G32+$G33+$G34+$G35+$G36+$G37+$G38+$G39+$G40+$G41,,"=TEXT($G42*$H42,""$#,##0"")",,Total Workspace migration implementation

# Credits
#WIDTH: 25,25,15,50
#ALIGN: left,left,right,left
Category,Credit Type,Credit Amount,Credit Comments
Professional Services,Partner Migration Credit,"($3000)",Google Workspace partner migration services discount
Software Licenses,New Customer Promotion,"($10000)",First 3 months free for new Google Workspace customers (500 users)
Cloud Infrastructure,Infrastructure Credit,$0,No infrastructure credits available
Support & Maintenance,Support Credit,$0,No support credits available
