#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
security.admin_group_id,Security,[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],Azure AD group for administrators,Yes,String,GUID format,Confidential
security.user_group_id,Security,[USER_GROUP_ID],[USER_GROUP_ID],[USER_GROUP_ID],Azure AD group for end users,Yes,String,GUID format,Confidential
storage.account_tier,Storage,Premium,Standard,Premium,Storage account tier for FSLogix,Yes,String,Standard|Premium,Public
storage.replication_type,Storage,ZRS,LRS,ZRS,Storage replication type,Yes,String,LRS|ZRS|GRS,Public
storage.fslogix_share_quota_gb,Storage,5120,1024,5120,File share quota in GB for FSLogix profiles,Yes,Integer,100-100000,Public
storage.enable_smb_multichannel,Storage,true,false,true,Enable SMB multichannel for performance,Yes,Boolean,true|false,Public
storage.enable_large_file_shares,Storage,true,false,true,Enable large file share support,Yes,Boolean,true|false,Public
avd.host_pool_type,AVD,Pooled,Pooled,Pooled,Host pool type (Pooled or Personal),Yes,String,Pooled|Personal,Public
avd.load_balancer,AVD,BreadthFirst,BreadthFirst,BreadthFirst,Load balancing algorithm,Yes,String,BreadthFirst|DepthFirst,Public
avd.max_session_limit,AVD,10,5,10,Maximum sessions per host,Yes,Integer,1-50,Public
avd.start_vm_on_connect,AVD,true,true,true,Start VMs automatically on connect,Yes,Boolean,true|false,Public
avd.personal_assignment,AVD,Automatic,Automatic,Automatic,Personal desktop assignment type,No,String,Automatic|Direct,Public
avd.validate_environment,AVD,false,true,false,Mark as validation environment,Yes,Boolean,true|false,Public
sessionhost.vm_size,SessionHost,Standard_D4s_v5,Standard_D2s_v5,Standard_D4s_v5,Azure VM size for session hosts,Yes,String,Valid VM size,Public
sessionhost.vm_count,SessionHost,3,1,2,Number of session host VMs,Yes,Integer,1-100,Public
sessionhost.image_publisher,SessionHost,MicrosoftWindowsDesktop,MicrosoftWindowsDesktop,MicrosoftWindowsDesktop,VM image publisher,Yes,String,Valid publisher,Public
sessionhost.image_offer,SessionHost,Windows-11,Windows-11,Windows-11,VM image offer,Yes,String,Valid offer,Public
sessionhost.image_sku,SessionHost,win11-22h2-avd,win11-22h2-avd,win11-22h2-avd,VM image SKU,Yes,String,Valid SKU,Public
sessionhost.image_version,SessionHost,latest,latest,latest,VM image version,Yes,String,latest or version,Public
sessionhost.os_disk_type,SessionHost,Premium_LRS,Standard_LRS,Premium_LRS,OS disk storage type,Yes,String,Standard_LRS|Premium_LRS,Public
sessionhost.os_disk_size_gb,SessionHost,128,128,128,OS disk size in GB,Yes,Integer,30-4096,Public
sessionhost.accelerated_networking,SessionHost,true,false,true,Enable accelerated networking,Yes,Boolean,true|false,Public
autoscale.enabled,Autoscale,true,false,true,Enable auto-scaling for session hosts,Yes,Boolean,true|false,Public
autoscale.min_hosts,Autoscale,2,1,1,Minimum number of session hosts,Yes,Integer,0-100,Public
autoscale.max_hosts,Autoscale,10,3,5,Maximum number of session hosts,Yes,Integer,1-100,Public
autoscale.scale_up_threshold,Autoscale,80,80,80,Scale up when utilization exceeds percentage,Yes,Integer,1-100,Public
autoscale.scale_down_threshold,Autoscale,20,20,20,Scale down when utilization below percentage,Yes,Integer,1-100,Public
autoscale.ramp_up_start,Autoscale,07:00,08:00,07:00,Ramp up start time (HH:MM),Yes,String,Valid time,Public
autoscale.ramp_up_capacity,Autoscale,60,60,60,Ramp up capacity threshold percentage,Yes,Integer,1-100,Public
autoscale.peak_start,Autoscale,09:00,09:00,09:00,Peak hours start time (HH:MM),Yes,String,Valid time,Public
autoscale.ramp_down_start,Autoscale,17:00,17:00,17:00,Ramp down start time (HH:MM),Yes,String,Valid time,Public
autoscale.ramp_down_capacity,Autoscale,50,50,50,Ramp down capacity threshold percentage,Yes,Integer,1-100,Public
autoscale.off_peak_start,Autoscale,19:00,18:00,19:00,Off-peak hours start time (HH:MM),Yes,String,Valid time,Public
autoscale.timezone,Autoscale,Eastern Standard Time,Eastern Standard Time,Pacific Standard Time,Timezone for scaling schedule,Yes,String,Valid timezone,Public
appgroup.desktop_enabled,AppGroup,true,true,true,Enable desktop application group,Yes,Boolean,true|false,Public
appgroup.remoteapp_enabled,AppGroup,true,false,true,Enable RemoteApp application group,Yes,Boolean,true|false,Public
appgroup.desktop_name,AppGroup,Full Desktop,Test Desktop,DR Desktop,Friendly name for desktop app group,Yes,String,Any text,Public
application.environment,Application,production,development,disaster-recovery,Deployment environment identifier,Yes,String,Valid env name,Public
application.log_level,Application,INFO,DEBUG,INFO,Logging verbosity level,Yes,String,DEBUG|INFO|WARN|ERROR,Public
monitoring.enable_alerts,Monitoring,true,false,true,Enable monitoring alerts,Yes,Boolean,true|false,Public
monitoring.enable_dashboard,Monitoring,true,false,true,Enable Azure dashboard,Yes,Boolean,true|false,Public
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public
monitoring.alert_email,Monitoring,ops-team@company.com,dev-team@company.com,ops-team@company.com,Email for critical alerts,Yes,String,Valid email,Confidential
monitoring.health_check_interval,Monitoring,300,600,300,Health check frequency in seconds,Yes,Integer,60-3600,Public
backup.enabled,Backup,true,false,true,Enable backup services,Yes,Boolean,true|false,Public
backup.retention_days,Backup,30,7,30,Backup retention in days,Yes,Integer,7-365,Public
budget.enabled,Budget,true,true,true,Enable cost budgets,Yes,Boolean,true|false,Public
budget.monthly_amount,Budget,5000,1000,3000,Monthly budget in USD,Yes,Integer,100-100000,Public
budget.alert_thresholds,Budget,"[50,80,100]","[80,100]","[50,80,100]",Alert thresholds as percentages,Yes,List(Number),Valid percentages,Public
budget.notification_email,Budget,finance@company.com,dev-team@company.com,finance@company.com,Email for budget alerts,Yes,String,Valid email,Confidential
policy.enable_security_policies,Policy,true,false,true,Enable Azure security policies,Yes,Boolean,true|false,Public
policy.enable_cost_policies,Policy,true,true,true,Enable cost management policies,Yes,Boolean,true|false,Public
policy.enable_operational_policies,Policy,true,false,true,Enable operational policies,Yes,Boolean,true|false,Public
dr.enabled,DR,true,false,false,Enable disaster recovery,Yes,Boolean,true|false,Public
dr.replication_enabled,DR,true,false,false,Enable storage replication,Yes,Boolean,true|false,Public
dr.failover_priority,DR,1,0,0,Failover priority (0=disabled),Yes,Integer,0-2,Public
