Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Cloud Infrastructure,AWS Secrets Manager,Secure credential storage,Secrets,15,30,60,15,0.40,Monthly,72.00,72.00,72.00,Database credentials API keys certificates
Cloud Infrastructure,AWS Backup,Automated backup management,GB,1000,3000,10000,1000,0.05,Monthly,600.00,600.00,600.00,Centralized backup for EC2 RDS and EBS
Cloud Infrastructure,AWS Data Transfer (Migration),One-time large data transfer to AWS,GB,5000,20000,100000,5000,0.05,One-Time,250.00,0,0,Initial data migration from on-premises
Cloud Infrastructure,AWS Snowball (Optional),Physical data transfer appliance for large datasets,Device,0,1,3,0,250,One-Time,0.00,0,0,"Small: Network transfer, Medium/Large: Snowball for TB-scale data"
Software Licenses & Subscriptions,Datadog Pro,APM and infrastructure monitoring,Hosts,10,30,80,10,23,Monthly,2760.00,2760.00,2760.00,Monitoring for migrated infrastructure
Software Licenses & Subscriptions,PagerDuty Professional,Incident management and alerting,Users,5,10,20,5,41,Monthly,2460.00,2460.00,2460.00,24x7 on-call coverage for production applications
Software Licenses & Subscriptions,HashiCorp Terraform Cloud,Infrastructure as code management,Users,5,10,25,5,70,Monthly,4200.00,4200.00,4200.00,IaC for automated infrastructure provisioning
Software Licenses & Subscriptions,AWS Migration Hub,Migration tracking and orchestration (Free),Free,1,1,1,1,0,Monthly,0.00,0.00,0.00,AWS-provided migration coordination tool
Software Licenses & Subscriptions,AWS Application Discovery Service,Automated application dependency mapping (Free),Free,1,1,1,1,0,Monthly,0.00,0.00,0.00,Discovery agent for migration planning
Support & Maintenance,AWS Enterprise Support,24x7 support with 15-minute critical response,Percent,0,0.03,0.03,0,0,Monthly,0.00,0.00,0.00,"Small: Business support, Medium/Large: 3% of monthly AWS spend"
Support & Maintenance,Application Performance Tuning,Quarterly performance optimization,Hours,0,12,24,0,200,Quarterly,0.00,0.00,0.00,"Small: None, Medium: 12h/quarter, Large: 24h/quarter"
Professional Services,Migration Assessment & Discovery,Current-state analysis and dependency mapping,Hours,120,120,120,120,200,One-Time,24000.00,0,0,Comprehensive application and infrastructure discovery
Professional Services,Migration Strategy & Planning,Wave planning TCO analysis and architecture design,Hours,160,200,280,160,225,One-Time,36000.00,0,0,Migration approach and detailed wave planning
Professional Services,AWS Landing Zone Setup,Multi-account setup security baseline network config,Hours,120,160,200,120,200,One-Time,24000.00,0,0,AWS Control Tower and foundational infrastructure
Professional Services,Application Migration (Wave 1-3),Rehost replatform or refactor applications,Hours,400,800,1600,400,175,One-Time,70000.00,0,0,Effort scales with complexity: lift-and-shift vs refactoring
Professional Services,Database Migration,Database assessment schema conversion data migration,Hours,160,320,640,160,200,One-Time,32000.00,0,0,"Includes AWS DMS setup, testing, and cutover"
Professional Services,Data Transfer & Synchronization,Large-scale data migration and validation,Hours,80,160,320,80,175,One-Time,14000.00,0,0,Data transfer coordination and integrity validation
Professional Services,Security & Compliance Configuration,IAM policies encryption compliance controls,Hours,80,120,200,80,200,One-Time,16000.00,0,0,Security hardening and compliance validation
Professional Services,Testing & Validation,Application testing performance validation,Hours,160,240,400,160,175,One-Time,28000.00,0,0,End-to-end testing including failback procedures
Professional Services,Cutover Planning & Execution,Migration cutover runbooks and execution support,Hours,80,120,200,80,200,One-Time,16000.00,0,0,Cutover coordination and go-live support
Professional Services,Training & Knowledge Transfer,Operations and development team training,Hours,60,80,120,60,175,One-Time,10500.00,0,0,Training on AWS services and cloud operations
Professional Services,Documentation & Runbooks,Architecture docs operational runbooks,Hours,60,80,120,60,175,One-Time,10500.00,0,0,Comprehensive migration and operations documentation
Professional Services,Project Management,Migration program management and governance,Hours,240,360,600,240,200,One-Time,48000.00,0,0,Overall migration coordination and stakeholder management
Professional Services,Hypercare Support (60 days),Post-migration support and optimization,Hours,120,180,280,120,175,One-Time,21000.00,0,0,Extended support during stabilization period
