Provider,Category,SolutionName,Description,Version,DownloadUrl,ManifestUrl,Website,SupportEmail,Status
IBM,Cloud,Openshift Container Platform,Enterprise container platform for modern applications,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/ibm/cloud/openshift-container-platform/latest/openshift-container-platform.zip,https://github.com/eoframework/solutions/raw/main/solutions/ibm/cloud/openshift-container-platform/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
IBM,DevOps,Ansible Automation Platform,IT automation platform for operational efficiency,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/ibm/devops/ansible-automation-platform/latest/ansible-automation-platform.zip,https://github.com/eoframework/solutions/raw/main/solutions/ibm/devops/ansible-automation-platform/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
GitHub,DevOps,GitHub Workflow Automation,Enterprise CI/CD automation & workflow management,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/github/devops/actions-enterprise-cicd/latest/actions-enterprise-cicd.zip,https://github.com/eoframework/solutions/raw/main/solutions/github/devops/actions-enterprise-cicd/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
GitHub,Cyber Security,CodeQL Security Scanner,Advanced threat protection for code repositories,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/github/cyber-security/advanced-security/latest/advanced-security.zip,https://github.com/eoframework/solutions/raw/main/solutions/github/cyber-security/advanced-security/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Microsoft,Modern Workspace,Microsoft 365 Deployment,Complete Microsoft 365 enterprise deployment,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/microsoft/modern-workspace/m365-deployment/latest/m365-deployment.zip,https://github.com/eoframework/solutions/raw/main/solutions/microsoft/modern-workspace/m365-deployment/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Microsoft,Cyber Security,CMMC Enclave,CMMC-compliant secure enclave for defense contractors,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/microsoft/cyber-security/cmmc-enclave/latest/cmmc-enclave.zip,https://github.com/eoframework/solutions/raw/main/solutions/microsoft/cyber-security/cmmc-enclave/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Google,Cloud,Landing Zone,Secure cloud foundation with governance & controls,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/google/cloud/landing-zone/latest/landing-zone.zip,https://github.com/eoframework/solutions/raw/main/solutions/google/cloud/landing-zone/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Google,Modern Workspace,Workspace,Collaborative digital workspace for modern teams,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/google/modern-workspace/workspace/latest/workspace.zip,https://github.com/eoframework/solutions/raw/main/solutions/google/modern-workspace/workspace/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,AI,Precision AI Workstation,High-performance workstations for AI development,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/ai/precision-ai-workstation/latest/precision-ai-workstation.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/ai/precision-ai-workstation/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,Cloud,VxRail Hyperconverged,Complete HCI platform for enterprise workloads,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/cloud/vxrail-hyperconverged/latest/vxrail-hyperconverged.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/cloud/vxrail-hyperconverged/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,Cloud,VxRail HCI,Hyperconverged infrastructure for simplified IT,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/cloud/vxrail-hci/latest/vxrail-hci.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/cloud/vxrail-hci/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,Network,Powerswitch Datacenter,High-performance datacenter switching fabric,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/network/powerswitch-datacenter/latest/powerswitch-datacenter.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/network/powerswitch-datacenter/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,DevOps,Poweredge Ci Infrastructure,Enterprise CI infrastructure on PowerEdge servers,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/devops/poweredge-ci-infrastructure/latest/poweredge-ci-infrastructure.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/devops/poweredge-ci-infrastructure/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Dell,Cyber Security,Safeid Authentication,Multi-factor authentication for secure access,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/dell/cyber-security/safeid-authentication/latest/safeid-authentication.zip,https://github.com/eoframework/solutions/raw/main/solutions/dell/cyber-security/safeid-authentication/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,AI,Cognitive Document Processor,Smart document processing with Azure cognitive AI,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/ai/document-intelligence/latest/document-intelligence.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/ai/document-intelligence/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,Cloud,Enterprise Landing Zone,Secure Azure foundation for enterprise workloads,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/cloud/enterprise-landing-zone/latest/enterprise-landing-zone.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/cloud/enterprise-landing-zone/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,Network,Virtual Wan Global,Global WAN connectivity for distributed enterprises,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/network/virtual-wan-global/latest/virtual-wan-global.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/network/virtual-wan-global/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,DevOps,DevOps Pipeline Factory,DevOps platform for accelerated software delivery,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/devops/enterprise-platform/latest/enterprise-platform.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/devops/enterprise-platform/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,Modern Workspace,Virtual Desktop,Secure remote desktop for modern workforce productivity,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/modern-workspace/virtual-desktop/latest/virtual-desktop.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/modern-workspace/virtual-desktop/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Azure,Cyber Security,Sentinel SIEM,Cloud SIEM for advanced threat detection & response,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/azure/cyber-security/sentinel-siem/latest/sentinel-siem.zip,https://github.com/eoframework/solutions/raw/main/solutions/azure/cyber-security/sentinel-siem/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Juniper,Network,Mist AI Network,AI-driven network operations & user experiences,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/juniper/network/mist-ai-network/latest/mist-ai-network.zip,https://github.com/eoframework/solutions/raw/main/solutions/juniper/network/mist-ai-network/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Juniper,Cyber Security,SRX Firewall Platform,Next-gen firewall for enterprise network security,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/juniper/cyber-security/srx-firewall-platform/latest/srx-firewall-platform.zip,https://github.com/eoframework/solutions/raw/main/solutions/juniper/cyber-security/srx-firewall-platform/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Nvidia,AI,GPU Compute Cluster,GPU cluster for parallel computing & AI workloads,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/ai/gpu-compute-cluster/latest/gpu-compute-cluster.zip,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/ai/gpu-compute-cluster/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Nvidia,AI,DGX SuperPOD,High-performance computing for AI model training,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/ai/dgx-superpod/latest/dgx-superpod.zip,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/ai/dgx-superpod/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Nvidia,Modern Workspace,Omniverse Enterprise,Real-time collaboration platform for 3D workflows,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/modern-workspace/omniverse-enterprise/latest/omniverse-enterprise.zip,https://github.com/eoframework/solutions/raw/main/solutions/nvidia/modern-workspace/omniverse-enterprise/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
