Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Cloud Infrastructure,Data Transfer Cross-Region,Data replication between primary and DR,GB,100,500,1000,100,0.02,Monthly,24.00,24.00,24.00,Cross-region data transfer for replication
Software Licenses & Subscriptions,Datadog Pro,APM and infrastructure monitoring,Hosts,10,20,40,10,23,Monthly,2760.00,2760.00,2760.00,Monitoring for primary and DR infrastructure
Software Licenses & Subscriptions,PagerDuty Professional,Incident management and on-call scheduling,Users,5,10,15,5,41,Monthly,2460.00,2460.00,2460.00,24x7 incident response for DR events
Software Licenses & Subscriptions,Veeam Backup & Replication,Application-aware backup and DR orchestration,Instance,2,4,8,2,150,Monthly,3600.00,3600.00,3600.00,Enterprise backup solution for complex workloads
Support & Maintenance,AWS Enterprise Support,24x7 support with 15-minute critical response,Percent,0,0.03,0.03,0,0,Monthly,0.00,0.00,0.00,"Small: Business support, Medium/Large: 3% of monthly AWS spend"
Support & Maintenance,DR Testing & Validation,Quarterly DR failover testing and validation,Hours,0,8,16,0,200,Quarterly,0.00,0.00,0.00,"Small: Annual test, Medium: Quarterly 8h, Large: Quarterly 16h"
Professional Services,Discovery & Assessment,Current-state analysis RTO/RPO requirements,Hours,80,80,80,80,200,One-Time,16000.00,0,0,Initial assessment of DR requirements and dependencies
Professional Services,DR Architecture Design,Detailed DR architecture and runbook design,Hours,120,150,200,120,225,One-Time,27000.00,0,0,DR strategy design failover procedures and documentation
Professional Services,Infrastructure Deployment,AWS DR environment setup and configuration,Hours,200,280,400,200,200,One-Time,40000.00,0,0,"Small: Pilot light, Medium: Warm standby, Large: Hot standby"
Professional Services,Application Configuration,Application deployment and DR configuration,Hours,160,240,320,160,175,One-Time,28000.00,0,0,Application setup in DR region with failover config
Professional Services,Data Replication Setup,Database and storage replication configuration,Hours,80,120,160,80,200,One-Time,16000.00,0,0,RDS read replicas S3 cross-region replication setup
Professional Services,DR Testing & Validation,Failover testing and RTO/RPO validation,Hours,80,120,160,80,175,One-Time,14000.00,0,0,End-to-end DR testing and runbook validation
Professional Services,Runbook Development,DR procedures documentation and automation,Hours,60,80,120,60,175,One-Time,10500.00,0,0,Detailed failover and recovery runbooks
Professional Services,Training & Knowledge Transfer,Operations team training on DR procedures,Hours,40,60,80,40,175,One-Time,7000.00,0,0,Training on DR runbooks and failover procedures
Professional Services,Project Management,Project coordination and stakeholder management,Hours,160,200,280,160,200,One-Time,32000.00,0,0,PM oversight for DR implementation
Professional Services,Hypercare Support (30 days),Post-implementation support and optimization,Hours,80,120,160,80,175,One-Time,14000.00,0,0,Support during initial DR operational period
